,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,Month-Year,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,YEAR,MONTH
0,10107,30,95.7,2,"$2,871.00",2003-02-24,Shipped,1,2-2003,Motorcycles,$95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small,2003,2
1,10121,34,81.35,5,"$2,765.90",2003-05-07,Shipped,2,5-2003,Motorcycles,$95.00,S10_1678,Reims Collectables,26471555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,2003,5
2,10134,41,94.74,2,"$3,884.34",2003-07-01,Shipped,3,7-2003,Motorcycles,$95.00,S10_1678,Lyon Souveniers,0033146627555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,2003,7
3,10145,45,83.26,6,"$3,746.70",2003-08-25,Shipped,3,8-2003,Motorcycles,$95.00,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,2003,8
4,10159,49,100.0,14,"$5,205.27",2003-10-10,Shipped,4,10-2003,Motorcycles,$95.00,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,2003,10
5,10168,36,96.66,1,"$3,479.76",2003-10-28,Shipped,4,10-2003,Motorcycles,$95.00,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,2003,10
6,10180,29,86.13,9,"$2,497.77",2003-11-11,Shipped,4,11-2003,Motorcycles,$95.00,S10_1678,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small,2003,11
7,10188,48,100.0,1,"$5,512.32",2003-11-18,Shipped,4,11-2003,Motorcycles,$95.00,S10_1678,Herkku Gifts,004722673215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,2003,11
8,10201,22,98.57,2,"$2,168.54",2003-12-01,Shipped,4,12-2003,Motorcycles,$95.00,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small,2003,12
9,10211,41,100.0,14,"$4,708.44",2004-01-15,Shipped,1,1-2004,Motorcycles,$95.00,S10_1678,Auto Canal Petit,147556555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,2004,1
10,10223,37,100.0,1,"$3,965.66",2004-02-20,Shipped,1,2-2004,Motorcycles,$95.00,S10_1678,"Australian Collectors, Co.",0395204555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2004,2
11,10237,23,100.0,7,"$2,333.12",2004-04-05,Shipped,2,4-2004,Motorcycles,$95.00,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Small,2004,4
12,10251,28,100.0,2,"$3,188.64",2004-05-18,Shipped,2,5-2004,Motorcycles,$95.00,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium,2004,5
13,10263,34,100.0,2,"$3,676.76",2004-06-28,Shipped,2,6-2004,Motorcycles,$95.00,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium,2004,6
14,10275,45,92.83,1,"$4,177.35",2004-07-23,Shipped,3,7-2004,Motorcycles,$95.00,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,2004,7
15,10285,36,100.0,6,"$4,099.68",2004-08-27,Shipped,3,8-2004,Motorcycles,$95.00,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,2004,8
16,10299,23,100.0,9,"$2,597.39",2004-09-30,Shipped,3,9-2004,Motorcycles,$95.00,S10_1678,"Toys of Finland, Co.",902248555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,2004,9
17,10309,41,100.0,5,"$4,394.38",2004-10-15,Shipped,4,10-2004,Motorcycles,$95.00,S10_1678,Baane Mini Imports,07989555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,2004,10
